Provinsi,Jenis Komoditas,Ranking Komoditas,Jenis OPT Asli,Ranking OPT,Total Luas Serangan (Ha),Jenis OPT Standar,Nama Ilmiah,Kategori,Tbase,GDD,Topt_min,Topt_max,RH_min,Trigger,Referensi
LAMPUNG,Kopi,3,Penggerek cabang Xylosandrus sp.,2,23496.45,Penggerek cabang Xylosandrus sp.,Xylosandrus sp.,Serangga,12.0,350.0,,,,,
LAMPUNG,Kopi,3,Penggerek cabang (Xyleborus sp.),3,19404.27,Penggerek cabang (Xyleborus sp.),Xyleborus sp.,Serangga,12.0,350.0,,,,,
RIAU,Karet,2,Gulma,1,270251.79,Gulma,Tidak spesifik,Gulma,,,,,,,
RIAU,Karet,2,Jamur Akar Putih (Rigidoporus lignosus),2,82675.86,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,Kontak akar dan tanah masam,
RIAU,Karet,2,Babi hutan (Sus sp.),3,40262.5,Babi hutan (Sus sp.),Sus sp.,Mamalia,,,,,,,
RIAU,Kelapa,3,Babi hutan (Sus sp.),1,100980.8,Babi hutan (Sus sp.),Sus sp.,Mamalia,,,,,,,
RIAU,Kelapa,3,Gulma,2,73334.4,Gulma,Tidak spesifik,Gulma,,,,,,,
RIAU,Kelapa,3,Kera,3,68833.0,Kera,Macaca sp.,Mamalia,,,,,,,
RIAU,Kelapa Sawit,1,Gulma,1,676239.68,Gulma,Tidak spesifik,Gulma,,,,,,,
RIAU,Kelapa Sawit,1,Kumbang Nyiur (Oryctes rhinoceros),2,65071.67,Kumbang Nyiur (Oryctes rhinoceros),Oryctes rhinoceros,Serangga,15.0,1500.0,,,,,
RIAU,Kelapa Sawit,1,Babi hutan (Sus sp.),3,61583.04,Babi hutan (Sus sp.),Sus sp.,Mamalia,,,,,,,
SUMATERA BARAT,Kakao,1,Busuk Buah Kakao (Phytophthora palmivora),1,60254.0,Busuk Buah Kakao (Phytophthora palmivora),Phytophthora palmivora,Penyakit,,,24.0,28.0,90.0,Durasi basah buah >10 jam setelah hujan,
SUMATERA BARAT,Kakao,1,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),2,59220.9,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),Conopomorpha cramerella,Serangga,14.0,450.0,,,,,
SUMATERA BARAT,Kakao,1,Kepik Penghisap Helopeltis sp.,3,52392.5,Kepik Penghisap Helopeltis sp.,Helopeltis sp.,Serangga,12.0,250.0,,,,,
SUMATERA BARAT,Karet,2,Gugur Daun Karet ( Pestalotiopsis sp.),1,49504.0,Gugur Daun Karet ( Pestalotiopsis sp.),Pestalotiopsis sp.,Penyakit,,,24.0,28.0,85.0,Periode flushing saat hujan,
SUMATERA BARAT,Karet,2,Jamur Akar Putih (Rigidoporus lignosus),2,37595.1,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,Kontak akar dan tanah masam,
SUMATERA BARAT,Karet,2,Bidang Sadap/Mouldy rot (Ceratocystis fimbriata),3,26334.8,Bidang Sadap/Mouldy rot (Ceratocystis fimbriata),Ceratocystis fimbriata,Penyakit,,,25.0,30.0,85.0,Hujan setelah penyadapan,
SUMATERA BARAT,Kelapa,3,Tupai/bajing (Callosciurus sp.),1,32766.0,Tupai/bajing (Callosciurus sp.),Callosciurus sp.,Mamalia,,,,,,,
SUMATERA BARAT,Kelapa,3,Kumbang Janur (Brontispa sp.),2,14263.4,Kumbang Janur (Brontispa sp.),Brontispa sp.,Serangga,11.1,966.0,,,,,
SUMATERA BARAT,Kelapa,3,Hidari irava,3,9220.6,Hidari irava,Hidari irava,Serangga,12.0,600.0,,,,,
SUMATERA SELATAN,Karet,1,Gugur Daun Karet ( Pestalotiopsis sp.),1,1136348.0,Gugur Daun Karet ( Pestalotiopsis sp.),Pestalotiopsis sp.,Penyakit,,,24.0,28.0,85.0,Periode flushing saat hujan,
SUMATERA SELATAN,Karet,1,Jamur Akar Putih (Rigidoporus lignosus),2,851474.0,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,Kontak akar dan tanah masam,
SUMATERA SELATAN,Karet,1,Bidang Sadap/Mouldy rot (Ceratocystis fimbriata),3,315636.0,Bidang Sadap/Mouldy rot (Ceratocystis fimbriata),Ceratocystis fimbriata,Penyakit,,,25.0,30.0,85.0,Hujan setelah penyadapan,
SUMATERA SELATAN,Kelapa Sawit,3,Ulat api (Setora sp./Parasa sp./Darna catenatus/Thosea sp./Hidari irava),1,41995.0,Ulat api (Setora sp./Parasa sp./Darna catenatus/Thosea sp./Hidari irava),Setora sp.; Parasa sp.; Darna catenatus; Thosea sp.; Hidari irava,Serangga,11.5,750.0,,,,,
SUMATERA SELATAN,Kelapa Sawit,3,Tikus (Rattus rattus),2,32142.0,Tikus (Rattus rattus),Rattus rattus,Mamalia,,,,,,,
SUMATERA SELATAN,Kelapa Sawit,3,Kumbang Nyiur (Oryctes rhinoceros),3,14171.0,Kumbang Nyiur (Oryctes rhinoceros),Oryctes rhinoceros,Serangga,15.0,1500.0,,,,,
SUMATERA SELATAN,Kopi,2,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),1,414199.0,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),Hypothenemus hampei,Serangga,8.9,485.0,,,,,
SUMATERA SELATAN,Kopi,2,Penggerek cabang (Xyleborus sp.),2,101981.0,Penggerek cabang (Xyleborus sp.),Xyleborus sp.,Serangga,12.0,350.0,,,,,
SUMATERA SELATAN,Kopi,2,Jamur Akar,3,42730.0,Jamur Akar,Jamur akar,Penyakit,,,25.0,28.0,85.0,Drainase buruk,
SUMATERA UTARA,Karet,2,Jamur Akar Putih (Rigidoporus lignosus),1,1509841.02,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,Kontak akar dan tanah masam,
SUMATERA UTARA,Karet,2,Kering Alur Sadap,2,1265168.96,Kering Alur Sadap,Tidak spesifik,Penyakit,,,25.0,30.0,70.0,Stres fisiologis akibat sadap berlebih,
SUMATERA UTARA,Karet,2,Bidang Sadap/Mouldy rot (Ceratocystis fimbriata),3,524336.1,Bidang Sadap/Mouldy rot (Ceratocystis fimbriata),Ceratocystis fimbriata,Penyakit,,,25.0,30.0,85.0,Hujan setelah penyadapan,
SUMATERA UTARA,Kelapa Sawit,1,Busuk Pangkal Batang (Ganoderma boninense),1,1988138.64,Busuk Pangkal Batang (Ganoderma boninense),Ganoderma boninense,Penyakit,,,26.0,32.0,80.0,Inokulum sisa kayu + kelembapan tanah konstan,
SUMATERA UTARA,Kelapa Sawit,1,Kumbang Nyiur (Oryctes rhinoceros),2,1609820.27,Kumbang Nyiur (Oryctes rhinoceros),Oryctes rhinoceros,Serangga,15.0,1500.0,,,,,
SUMATERA UTARA,Kelapa Sawit,1,Tikus (Rattus rattus),3,994534.2,Tikus (Rattus rattus),Rattus rattus,Mamalia,,,,,,,
SUMATERA UTARA,Kopi,3,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),1,795922.67,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),Hypothenemus hampei,Serangga,8.9,485.0,,,,,
SUMATERA UTARA,Kopi,3,Karat Daun (Hemileia vastatrix),2,651579.09,Karat Daun (Hemileia vastatrix),Hemileia vastatrix,Penyakit,,,21.0,25.0,80.0,Embun pagi + suhu sejuk,
SUMATERA UTARA,Kopi,3,Penggerek batang (Zeuzera sp.),3,318155.55,Penggerek batang (Zeuzera sp.),Zeuzera sp.,Serangga,10.0,1800.0,,,,,
