Provinsi,Jenis Komoditas,Ranking Komoditas,Jenis OPT Asli,Ranking OPT,Total Luas Serangan (Ha),Jenis OPT Standar,Nama Ilmiah,Kategori,Tbase,GDD,Topt_min,Topt_max,RH_min,Trigger,Referensi
JAMBI,Kopi,3,Jamur Akar,2,24711.0,Jamur Akar (Umum/Kompleks),Jamur akar,Penyakit,,,25.0,28.0,85.0,Tanah jenuh air/drainase buruk,
JAMBI,Kopi,3,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),3,21470.2,Hypothenemus hampei (PBKo),Hypothenemus hampei,Serangga,8.9,485.0,,,,,
KEPULAUAN BANGKA BELITUNG,Karet,3,Gugur Daun Karet ( Pestalotiopsis sp.),1,169897.44,Gugur Daun (Pestalotiopsis/Colletotrichum),Pestalotiopsis/Colletotrichum,Penyakit,,,24.0,28.0,85.0,Periode flushing (tunas muda) saat hujan,
KEPULAUAN BANGKA BELITUNG,Karet,3,Gulma,2,58779.14,,,,,,,,,,
KEPULAUAN BANGKA BELITUNG,Karet,3,Jamur Akar Putih/JAP (Rigidoporus lignosus),3,54112.44,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,pH tanah masam (4.5–5.5) + kontak akar,
KEPULAUAN BANGKA BELITUNG,Kelapa Sawit,1,karat daun,1,221626.44,Karat Daun (Hemileia vastatrix),Hemileia vastatrix,Penyakit,,,21.0,25.0,80.0,Embun pagi + suhu sejuk,
KEPULAUAN BANGKA BELITUNG,Kelapa Sawit,1,gulma,2,147026.02,,,,,,,,,,
KEPULAUAN BANGKA BELITUNG,Kelapa Sawit,1,Imperata cylindrica,3,81143.55,,,,,,,,,,
KEPULAUAN BANGKA BELITUNG,Lada,2,"Penyakit kuning/Nematoda (Radopholus similis, Meloidogyne incognita, dan Pratylenchus sp.)",1,182581.31,Nematoda (Radopholus/Meloidogyne/Pratylenchus),Nematoda,Serangga,10.0,350.0,,,,,
KEPULAUAN BANGKA BELITUNG,Lada,2,Penyakit keriting,2,96280.88,Penyakit Keriting (Virus/Fisiologis),Penyakit Keriting,Penyakit,,,25.0,30.0,70.0,Populasi vektor + cuaca kering,
KEPULAUAN BANGKA BELITUNG,Lada,2,Busuk pangkal batang (Phytophthora capsici),3,95320.85,Busuk Pangkal Batang (Phytophthora capsici),Phytophthora capsici,Penyakit,,,24.0,28.0,90.0,Genangan air di area perakaran,
KEPULAUAN RIAU,Cengkeh,2,Layu bakteri/BPKC (Pseudomonas syzygii),1,2792.7,Layu Bakteri (Pseudomonas syzygii),Pseudomonas syzygii,Penyakit,,,28.0,32.0,80.0,Adanya luka mekanis + curah hujan tinggi,
KEPULAUAN RIAU,Cengkeh,2,Penggerek batang (Nothopeus sp. dan Hexamitodera semivelutina),2,2688.92,Nothopeus sp. (Penggerek Batang Cengkeh),Nothopeus sp.,Serangga,11.0,2000.0,,,,,
KEPULAUAN RIAU,Cengkeh,2,Jamur Akar Putih (Rigidoporus lignosus),3,1728.0,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,pH tanah masam (4.5–5.5) + kontak akar,
KEPULAUAN RIAU,Karet,3,Rayap (Anai-anai),1,2273.03,,,,,,,,,,
KEPULAUAN RIAU,Karet,3,Jamur Akar Putih/JAP (Rigidoporus lignosus),2,1341.72,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,pH tanah masam (4.5–5.5) + kontak akar,
KEPULAUAN RIAU,Karet,3,Kanker garis (Phytophthora palmivora),3,543.5,Kanker Garis (Phytophthora palmivora),Phytophthora palmivora,Penyakit,,,24.0,28.0,90.0,Kelembapan tinggi pada luka batang,
KEPULAUAN RIAU,Kelapa,1,Tupai/bajing (Callosciurus sp.),1,4074.65,,,,,,,,,,
KEPULAUAN RIAU,Kelapa,1,Babi hutan (Sus sp.),2,2100.0,,,,,,,,,,
KEPULAUAN RIAU,Kelapa,1,gulma,3,1749.0,,,,,,,,,,
LAMPUNG,Kakao,1,Busuk Buah Kakao (Phytophthora palmivora),1,47842.79,Busuk Buah Kakao (Phytophthora palmivora),Phytophthora palmivora,Penyakit,,,24.0,28.0,90.0,Durasi basah buah >10 jam setelah hujan,
LAMPUNG,Kakao,1,Kepik Penghisap Helopeltis sp.,2,43994.72,Helopeltis sp. (Kepik Penghisap),Helopeltis sp.,Serangga,12.0,250.0,,,,,
LAMPUNG,Kakao,1,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),3,41499.76,Conopomorpha cramerella (PBK),Conopomorpha cramerella,Serangga,14.0,450.0,,,,,
LAMPUNG,Karet,2,Jamur Akar Putih/JAP (Rigidoporus lignosus),1,47116.38,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,pH tanah masam (4.5–5.5) + kontak akar,
LAMPUNG,Karet,2,Kering Alur Sadap,2,39060.77,Kering Alur Sadap (Fisiologis),Kering Alur Sadap,Penyakit,,,25.0,30.0,70.0,Intensitas sadap tinggi + stres kekeringan,
LAMPUNG,Karet,2,Gugur Daun Karet (Colletotrichum gloesporioidies sp.),3,20987.760000000002,Gugur Daun (Pestalotiopsis/Colletotrichum),Pestalotiopsis/Colletotrichum,Penyakit,,,24.0,28.0,85.0,Periode flushing (tunas muda) saat hujan,
LAMPUNG,Kopi,3,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),1,25256.64,Hypothenemus hampei (PBKo),Hypothenemus hampei,Serangga,8.9,485.0,,,,,
LAMPUNG,Kopi,3,Penggerek cabang Xylosandrus sp.,2,23496.45,Xylosandrus/Xyleborus sp. (Penggerek Cabang),Xylosandrus/Xyleborus sp.,Serangga,12.0,350.0,,,,,
LAMPUNG,Kopi,3,Penggerek Cabang (Xylosandrus sp. dan Xyleborus sp.),3,19404.27,Xylosandrus/Xyleborus sp. (Penggerek Cabang),Xylosandrus/Xyleborus sp.,Serangga,12.0,350.0,,,,,
RIAU,Karet,2,Gulma,1,270251.79,,,,,,,,,,
RIAU,Karet,2,Jamur Akar Putih/JAP (Rigidoporus lignosus),2,82675.86,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,pH tanah masam (4.5–5.5) + kontak akar,
RIAU,Karet,2,Babi hutan (Sus sp.),3,40262.5,,,,,,,,,,
RIAU,Kelapa,3,Babi hutan (Sus sp.),1,100980.8,,,,,,,,,,
RIAU,Kelapa,3,gulma,2,73334.4,,,,,,,,,,
RIAU,Kelapa,3,Kera,3,68833.0,,,,,,,,,,
RIAU,Kelapa Sawit,1,gulma,1,676239.68,,,,,,,,,,
RIAU,Kelapa Sawit,1,Kumbang nyiur (Oryctes rhinoceros),2,65071.67,Oryctes rhinoceros (Kumbang Nyiur),Oryctes rhinoceros,Serangga,15.0,1500.0,,,,,
RIAU,Kelapa Sawit,1,Babi hutan (Sus sp.),3,61583.04,,,,,,,,,,
SUMATERA BARAT,Kakao,1,Busuk Buah Kakao (Phytophthora palmivora),1,60254.0,Busuk Buah Kakao (Phytophthora palmivora),Phytophthora palmivora,Penyakit,,,24.0,28.0,90.0,Durasi basah buah >10 jam setelah hujan,
SUMATERA BARAT,Kakao,1,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),2,59220.9,Conopomorpha cramerella (PBK),Conopomorpha cramerella,Serangga,14.0,450.0,,,,,
SUMATERA BARAT,Kakao,1,Kepik Penghisap Helopeltis sp.,3,52392.5,Helopeltis sp. (Kepik Penghisap),Helopeltis sp.,Serangga,12.0,250.0,,,,,
SUMATERA BARAT,Karet,2,Gugur Daun Karet ( Pestalotiopsis sp.),1,49504.0,Gugur Daun (Pestalotiopsis/Colletotrichum),Pestalotiopsis/Colletotrichum,Penyakit,,,24.0,28.0,85.0,Periode flushing (tunas muda) saat hujan,
SUMATERA BARAT,Karet,2,Jamur Akar Putih/JAP (Rigidoporus lignosus),2,37595.1,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,pH tanah masam (4.5–5.5) + kontak akar,
SUMATERA BARAT,Karet,2,Bidang Sadap/Mouldy rot (Ceratocystis fimbriata),3,26334.8,Bidang Sadap/Mouldy Rot (Ceratocystis),Ceratocystis,Penyakit,,,25.0,30.0,85.0,Hujan <1 jam setelah penyadapan,
SUMATERA BARAT,Kelapa,3,Tupai/bajing (Callosciurus sp.),1,32766.0,,,,,,,,,,
SUMATERA BARAT,Kelapa,3,Kumbang janur (Brontispa sp.),2,14263.4,Brontispa sp. (Kumbang Janur),Brontispa sp.,Serangga,11.1,966.0,,,,,
SUMATERA BARAT,Kelapa,3,Hidari irava,3,9220.6,Hidari irava (Ulat Bulu Kelapa),Hidari irava,Serangga,12.0,600.0,,,,,
SUMATERA SELATAN,Karet,1,Jamur Akar Putih/JAP (Rigidoporus lignosus),1,851474.0,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,pH tanah masam (4.5–5.5) + kontak akar,
SUMATERA SELATAN,Karet,1,Gugur Daun Karet (Colletotrichum gloesporioidies sp.),2,814080.0,Gugur Daun (Pestalotiopsis/Colletotrichum),Pestalotiopsis/Colletotrichum,Penyakit,,,24.0,28.0,85.0,Periode flushing (tunas muda) saat hujan,
SUMATERA SELATAN,Karet,1,Gugur Daun Karet ( Pestalotiopsis sp.),3,322268.0,Gugur Daun (Pestalotiopsis/Colletotrichum),Pestalotiopsis/Colletotrichum,Penyakit,,,24.0,28.0,85.0,Periode flushing (tunas muda) saat hujan,
SUMATERA SELATAN,Kelapa Sawit,3,Ulat api (Setora sp./Parasa sp./Darna catenatus/Thosea  sp./Hidari irava),1,41995.0,Ulat Api (Darna catenatus/Thosea sp.),Darna catenatus/Thosea sp.,Serangga,11.5,700.0,,,,,
SUMATERA SELATAN,Kelapa Sawit,3,Tikus (Rattus rattus),2,32142.0,,,,,,,,,,
SUMATERA SELATAN,Kelapa Sawit,3,Kumbang nyiur (Oryctes rhinoceros),3,14171.0,Oryctes rhinoceros (Kumbang Nyiur),Oryctes rhinoceros,Serangga,15.0,1500.0,,,,,
SUMATERA SELATAN,Kopi,2,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),1,414199.0,Hypothenemus hampei (PBKo),Hypothenemus hampei,Serangga,8.9,485.0,,,,,
SUMATERA SELATAN,Kopi,2,Penggerek Cabang (Xylosandrus sp. dan Xyleborus sp.),2,101981.0,Xylosandrus/Xyleborus sp. (Penggerek Cabang),Xylosandrus/Xyleborus sp.,Serangga,12.0,350.0,,,,,
SUMATERA SELATAN,Kopi,2,Jamur Akar,3,42730.0,Jamur Akar (Umum/Kompleks),Jamur akar,Penyakit,,,25.0,28.0,85.0,Tanah jenuh air/drainase buruk,
SUMATERA UTARA,Karet,2,Jamur Akar Putih/JAP (Rigidoporus lignosus),1,1509841.02,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,pH tanah masam (4.5–5.5) + kontak akar,
SUMATERA UTARA,Karet,2,Kering Alur Sadap,2,1265168.96,Kering Alur Sadap (Fisiologis),Kering Alur Sadap,Penyakit,,,25.0,30.0,70.0,Intensitas sadap tinggi + stres kekeringan,
SUMATERA UTARA,Karet,2,Bidang Sadap/Mouldy rot (Ceratocystis fimbriata),3,524336.1,Bidang Sadap/Mouldy Rot (Ceratocystis),Ceratocystis,Penyakit,,,25.0,30.0,85.0,Hujan <1 jam setelah penyadapan,
SUMATERA UTARA,Kelapa Sawit,1,Busuk pangkal batang (Ganoderma boninense),1,1988138.64,Busuk Pangkal Batang (Ganoderma boninense),Ganoderma boninense,Penyakit,,,26.0,32.0,80.0,Inokulum sisa kayu + kelembapan tanah konstan,
SUMATERA UTARA,Kelapa Sawit,1,Kumbang nyiur (Oryctes rhinoceros),2,1609820.27,Oryctes rhinoceros (Kumbang Nyiur),Oryctes rhinoceros,Serangga,15.0,1500.0,,,,,
SUMATERA UTARA,Kelapa Sawit,1,Tikus (Rattus rattus),3,994534.2,,,,,,,,,,
SUMATERA UTARA,Kopi,3,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),1,795922.67,Hypothenemus hampei (PBKo),Hypothenemus hampei,Serangga,8.9,485.0,,,,,
SUMATERA UTARA,Kopi,3,Karat daun (Hemileia vastatrix),2,651490.8,Karat Daun (Hemileia vastatrix),Hemileia vastatrix,Penyakit,,,21.0,25.0,80.0,Embun pagi + suhu sejuk,
SUMATERA UTARA,Kopi,3,Penggerek batang (Zeuzera sp.),3,318155.55,Zeuzera sp. (Penggerek Batang),Zeuzera sp.,Serangga,10.0,1800.0,,,,,
